"No.","Time","Source","Destination","Protocol","Length","Info","Type","Data rate"
"5226","2.182191","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5227","2.182265","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5228","2.182380","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5229","2.182495","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"5230","2.182793","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5231","2.182866","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5232","2.182937","PlanetBi_93:00:00","e0:94:61:b1:1b:d6","802.11","1386","QoS Data, SN=682, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5233","2.183049","36:bf:c3:3f:13:00","IntelCor_b1:42:d4","802.11","1386","QoS Data, SN=684, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5234","2.183123","Intel_80:d0:4f","IntelCor_b1:42:d4","802.11","1386","QoS Data, SN=688, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5235","2.183196","5b:d3:08:1d:00:00","e0:94:ab:b8:31:ae","802.11","1386","QoS Data, SN=691, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5236","2.183312","PlanetBi_93:00:00","e0:94:81:f9:d7:f4","802.11","1390","QoS Data, SN=695, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5237","2.183386","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5238","2.183498","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5239","2.183572","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5240","2.183687","c3:4c:58:ec:90:ca","02:a4:20:9b:59:38","LLC","1390","S, func=SREJ, N(R)=16; DSAP PROWAY (IEC955) Network Management and Initialization Individual, SSAP TCP/IP Response","QoS Data","433.333,433.333"
"5241","2.183761","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5242","2.183880","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5243","2.183953","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"5244","2.184068","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5245","2.184143","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5246","2.184804","b6:c1:d2:d5:a8:98","e0:94:e7:87:00:cf","802.11","1390","QoS Data, SN=1920, FN=15, Flags=.p....F..","QoS Data","433.333,433.333"
"5247","2.184920","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5248","2.184993","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","259","QoS Data, SN=2639, FN=0, Flags=.p....F.C","QoS Data","87.75,87.75"
"5249","2.185066","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","1049","QoS Data, SN=2640, FN=0, Flags=.p....F.C","QoS Data","87.75,87.75"
"5250","2.185590","5e:7a:8a:19:d7:32","Broadcast","802.11","347","Beacon frame, SN=996, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"5251","2.186062","ArrisGro_83:19:be","Broadcast","802.11","384","Beacon frame, SN=2873, FN=0, Flags=........C, BI=200, SSID=Monserrat","Beacon frame","6"
"5252","2.186180","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"5253","2.186252","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5254","2.186374","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5255","2.186448","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5256","2.186522","13:a3:d6:e8:23:a1","IntelCor_b1:b2:7a","802.11","1390","QoS Data, SN=2350, FN=2, Flags=.p....F..","QoS Data","433.333,433.333"
"5257","2.186596","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5258","2.186755","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5259","2.186828","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5260","2.186936","Intel_80:00:00","5f:bf:29:81:a9:a3","802.11","1386","QoS Data, SN=711, FN=0, Flags=.p..R.F..","QoS Data","433.333,433.333"
"5261","2.187198","Intel_80:00:00","e0:f0:96:8a:43:d4","802.11","1390","QoS Data, SN=715, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5262","2.187272","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5263","2.187346","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"5264","2.187468","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5265","2.187610","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5266","2.187745","fc:59:2b:48:d6:b0","fb:0d:58:0c:09:65","802.11","1386","QoS Data, SN=3706, FN=4, Flags=.p....F..","QoS Data","433.333,433.333"
"5267","2.187842","cd:b6:85:29:2c:a1","e0:94:c8:bc:31:70","802.11","1386","QoS Data, SN=1329, FN=2, Flags=.p....F..","QoS Data","433.333,433.333"
"5268","2.187944","Intel_80:00:03","e5:94:67:29:61:41","802.11","1386","QoS Data, SN=729, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5269","2.188156","e9:02:94:9b:09:15","e0:94:88:1f:23:5a","802.11","1386","QoS Data, SN=1636, FN=3, Flags=.p....F..","QoS Data","433.333,433.333"
"5270","2.188260","f3:31:82:ed:dd:6a","40:61:5c:ec:54:f3","LLC","1390","U, func=Unknown; DSAP 0xec Group, SSAP 0x1a Command","Data + CF-Ack","433.333,433.333"
"5271","2.188362","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5272","2.188517","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5273","2.188591","Pegatron_44:31:70 (78:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5274","2.188911","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5275","2.189007","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
